club_speed_mph,ball_speed_mph,smash_factor,attack_angle_deg,launch_angle_deg,spin_rate_rpm,club_path_deg,face_to_path_deg,offline_yards,carry_yards,good_shot
96.11,136.18,1.471,3.77,8.85,2282,0.17,2.36,12.3,324.7,1
99.57,155.31,1.55,0.82,16.66,3345,0.6,3.39,5.2,330.0,1
114.14,167.75,1.478,0.01,19.2,3542,-3.1,-2.59,-2.6,330.0,0
101.04,138.98,1.427,0.9,13.56,1798,0.44,-0.88,-7.4,330.0,1
107.86,155.22,1.42,-2.32,5.81,2579,-1.08,2.29,17.1,330.0,0
96.01,140.43,1.425,2.69,15.77,1973,-4.03,-0.32,6.2,330.0,1
90.52,133.6,1.435,-3.86,8.94,3276,2.01,-1.23,1.2,307.2,1
92.28,132.61,1.427,0.17,11.07,2719,-1.69,2.52,13.0,287.9,1
94.2,141.88,1.505,3.78,16.2,2087,-1.22,2.76,-10.3,330.0,1
117.03,160.84,1.346,2.41,14.61,2488,-1.39,-1.12,-6.8,330.0,1
93.43,144.51,1.502,3.27,12.68,2189,3.71,0.53,12.9,330.0,1
106.71,155.13,1.427,1.3,11.51,3248,-0.12,-3.02,-5.2,330.0,0
92.78,134.27,1.473,5.01,15.13,2546,0.24,-2.24,-14.9,326.6,0
107.45,149.04,1.382,4.27,13.27,2645,-1.32,0.31,-2.3,330.0,1
103.08,158.78,1.53,2.84,10.67,1400,1.39,0.08,-13.3,330.0,0
98.75,146.04,1.525,4.28,13.5,2313,4.05,-2.42,-1.1,330.0,0
99.67,151.44,1.508,3.75,15.33,3312,1.94,-1.79,-15.2,330.0,0
94.76,134.47,1.359,0.18,12.53,3186,2.06,-2.66,-0.1,309.5,0
103.57,156.93,1.5,-2.53,7.87,1921,1.82,1.14,13.3,330.0,1
96.36,145.75,1.474,2.76,16.93,2293,-4.14,-4.92,-25.0,330.0,1
90.2,122.55,1.354,3.14,5.88,1871,-2.63,-2.53,-8.9,293.8,0
89.78,129.86,1.449,4.77,13.33,3084,-0.61,-4.66,-18.3,317.2,0
101.38,150.17,1.472,-1.31,10.68,2788,-2.18,1.05,2.5,330.0,0
112.63,165.04,1.483,-1.22,13.02,2328,-3.19,-4.51,-26.5,330.0,1
101.28,145.52,1.461,2.88,15.69,2443,-5.62,0.08,-2.7,330.0,1
99.05,148.52,1.467,1.29,16.83,1400,-4.04,4.1,-0.3,330.0,0
102.29,160.79,1.538,-4.16,9.41,2361,-0.77,4.18,2.7,330.0,1
110.45,165.8,1.524,2.63,15.68,2459,-0.21,-4.51,-16.8,330.0,1
101.76,132.46,1.278,-4.06,12.17,3224,-2.38,0.75,-1.5,308.4,0
96.71,138.17,1.431,-1.34,7.4,1807,0.24,-2.47,-6.7,319.3,1
108.85,157.61,1.44,5.56,20.65,2095,-1.3,-2.98,-15.9,330.0,0
103.43,140.25,1.345,6.97,11.12,2636,3.27,-0.28,14.2,318.8,1
112.29,165.94,1.456,-2.15,13.51,2076,-0.48,3.07,11.1,330.0,1
101.47,154.93,1.525,0.51,14.35,2672,2.09,1.5,9.2,330.0,1
90.2,128.44,1.385,1.63,14.4,2532,0.61,-1.79,-4.3,306.5,0
89.05,131.7,1.47,6.84,13.91,2961,-4.21,1.76,7.1,313.2,1
113.21,159.49,1.395,0.02,15.49,2495,-0.27,-5.61,-16.5,330.0,1
113.79,158.32,1.41,0.07,8.34,2519,-3.71,-1.88,-8.4,330.0,1
98.56,157.05,1.539,6.15,14.95,2616,-0.32,-2.06,-3.2,330.0,1
96.93,138.57,1.417,0.38,11.44,1981,-2.24,0.2,-12.9,314.3,0
111.69,166.83,1.478,3.67,12.25,2281,1.15,-0.51,-11.1,330.0,1
91.14,117.9,1.338,-2.93,13.26,2571,-4.03,-0.35,-6.5,284.4,1
92.84,141.85,1.55,0.99,16.58,2478,0.04,-0.44,-2.7,330.0,0
105.15,159.36,1.486,-3.48,10.75,3191,1.72,0.06,5.7,330.0,1
96.84,140.08,1.439,-1.67,14.76,2949,2.72,1.35,8.1,330.0,0
99.96,143.61,1.485,4.02,14.56,2022,-2.29,0.37,2.0,330.0,1
98.69,137.35,1.365,1.35,10.79,2580,0.05,-0.71,-9.9,325.8,1
102.7,154.84,1.521,0.54,12.42,3238,0.55,1.0,4.1,330.0,0
111.26,162.69,1.431,-0.75,11.84,2271,4.64,2.07,4.8,330.0,1
100.72,144.6,1.438,0.84,11.2,2615,-4.44,-1.39,-7.9,330.0,1
105.15,149.88,1.421,2.4,15.13,2369,-2.73,-0.15,-15.1,330.0,1
83.6,121.25,1.415,4.45,15.26,2305,8.0,2.9,21.9,292.0,0
99.61,146.34,1.492,-6.0,6.13,2226,-0.82,-2.76,-19.4,327.0,1
93.25,134.17,1.465,-1.0,7.7,3295,-5.67,4.51,6.7,301.6,0
90.25,133.9,1.489,1.98,14.97,2133,-1.75,-3.35,-8.4,317.7,1
92.97,136.83,1.449,1.2,10.98,2990,-8.0,-0.86,-11.3,310.7,1
97.33,140.79,1.481,2.71,14.85,2158,0.72,-2.38,-17.3,330.0,1
107.33,148.76,1.425,2.3,16.15,2180,2.43,5.47,18.0,330.0,1
89.39,140.61,1.55,0.59,9.39,3111,-2.73,-1.26,-16.7,330.0,0
100.25,134.42,1.356,-0.08,8.74,3052,-1.41,-1.25,-16.2,300.6,1
96.13,145.68,1.526,0.76,18.29,2648,2.77,-0.93,0.8,330.0,1
97.38,144.55,1.532,4.95,15.79,2646,-5.25,0.24,-2.1,330.0,1
108.02,149.41,1.399,-0.7,11.5,2512,-3.96,-0.82,-5.0,330.0,1
104.3,161.65,1.55,1.31,10.66,2518,-0.68,-0.33,1.6,330.0,1
110.7,169.45,1.51,2.05,12.19,2179,-2.26,-7.0,-27.3,330.0,1
98.76,147.03,1.508,6.18,11.59,2636,-0.88,0.14,-2.2,330.0,1
94.43,141.23,1.452,0.6,15.86,2252,-3.79,0.04,-10.8,330.0,1
98.21,139.41,1.437,4.38,12.2,3006,0.64,2.6,7.2,330.0,0
101.94,144.82,1.437,5.2,18.1,2146,-0.45,3.27,3.0,330.0,1
101.41,153.27,1.473,1.31,12.26,2531,1.65,-0.47,-4.7,330.0,1
91.32,140.63,1.534,0.87,10.17,2889,0.6,2.04,8.4,330.0,1
100.72,145.77,1.461,0.51,11.9,2580,0.62,-2.75,-9.6,330.0,1
101.83,141.69,1.395,0.73,5.38,2422,-4.34,1.92,19.9,317.6,1
120.14,183.53,1.499,4.06,14.06,2343,1.48,-1.43,-11.3,330.0,1
115.01,176.79,1.505,2.19,13.26,2871,-0.99,-2.96,-12.3,330.0,1
93.17,136.72,1.489,2.21,16.25,2169,-0.5,-0.46,-10.8,330.0,1
97.7,145.93,1.495,-1.88,6.68,2656,3.14,3.5,13.7,330.0,1
88.29,126.81,1.434,-1.4,15.99,2689,-2.16,0.45,-3.1,297.4,1
95.27,130.37,1.394,7.93,18.24,2513,4.05,3.74,23.0,319.6,0
102.52,143.18,1.398,0.97,17.09,2497,4.33,-1.87,-4.0,330.0,0
109.65,148.24,1.352,-0.82,12.55,3463,2.26,2.62,10.7,330.0,0
94.17,140.73,1.464,5.79,18.07,2182,-2.94,-1.63,-11.8,330.0,1
94.77,139.96,1.445,2.35,9.41,2352,-6.56,0.56,-14.3,330.0,1
82.82,117.08,1.424,3.23,16.27,2329,3.24,0.54,1.9,284.8,1
98.7,125.08,1.273,1.09,11.07,1942,0.33,1.65,3.9,286.2,0
91.5,127.49,1.375,0.54,8.24,2101,-2.24,0.63,-0.0,296.0,0
95.76,143.84,1.517,0.99,9.97,2302,3.52,-1.85,1.1,330.0,0
92.99,132.59,1.41,-2.65,12.09,3270,-2.58,2.2,3.2,300.7,1
99.25,145.83,1.472,1.24,10.96,2511,-1.27,4.33,12.1,330.0,0
85.94,115.02,1.367,2.39,14.96,2239,1.57,-1.46,-13.5,284.4,0
88.26,133.21,1.536,7.05,10.04,2729,-3.34,-4.59,-16.8,310.1,0
117.03,172.31,1.441,1.76,7.23,3193,-0.33,1.25,-0.2,330.0,1
89.7,131.24,1.467,-5.5,15.19,3495,3.27,-0.83,5.5,308.6,0
91.23,145.5,1.55,1.22,16.14,2143,0.63,-0.33,7.5,330.0,1
114.7,175.46,1.541,8.0,12.65,1897,3.74,1.39,8.2,330.0,1
123.24,177.16,1.432,4.1,14.43,3170,3.4,-1.14,-6.1,330.0,1
90.63,134.17,1.414,-0.93,15.73,2764,0.02,-0.67,-2.4,323.2,1
97.05,136.19,1.43,3.27,15.4,2283,-7.01,-0.25,-7.2,315.5,1
102.73,147.36,1.481,-0.73,13.19,2967,-3.32,3.67,7.0,330.0,1
113.83,167.55,1.444,-2.56,15.39,3207,2.29,0.08,-0.4,330.0,0
92.11,129.3,1.426,0.45,10.97,2316,-4.65,-3.09,-13.0,312.0,1
98.04,150.73,1.538,1.77,13.71,2592,-0.98,-2.99,-8.7,330.0,1
106.22,151.82,1.443,-4.12,11.51,3264,1.02,0.35,0.4,330.0,0
103.48,161.06,1.55,-1.95,11.5,2195,4.41,-2.82,-14.5,330.0,0
96.99,138.79,1.455,1.53,12.37,2514,-1.73,-3.91,-13.0,330.0,1
98.93,152.89,1.55,0.28,13.32,2082,-1.93,1.59,-1.4,330.0,1
89.0,132.08,1.471,2.68,14.04,1996,-0.16,1.71,7.1,319.9,1
98.09,145.38,1.508,-2.14,9.1,2475,1.05,-0.92,-1.1,329.1,1
97.87,135.9,1.407,3.64,16.68,2596,-0.46,0.73,-9.3,326.0,1
101.86,141.61,1.399,-2.05,9.35,2578,3.15,0.47,5.9,330.0,0
95.56,137.62,1.478,6.43,14.6,1923,-2.4,1.51,5.5,330.0,0
103.77,155.57,1.509,-3.65,10.84,2842,0.36,1.51,9.5,330.0,1
108.1,157.31,1.452,-1.78,13.45,2191,1.34,-6.51,-20.5,330.0,0
101.24,137.99,1.373,2.75,7.61,2628,-1.2,-0.6,-15.4,311.7,1
102.81,140.01,1.368,6.49,17.95,2720,2.52,1.29,15.2,329.0,1
100.43,136.97,1.364,2.45,11.82,2418,0.45,-1.03,-0.6,330.0,1
100.0,132.76,1.344,3.19,17.78,2317,2.37,0.09,-4.1,330.0,1
94.23,138.98,1.457,1.55,12.11,2675,0.58,1.88,2.5,329.4,1
102.53,159.18,1.518,-1.58,12.3,1782,1.13,0.2,3.5,330.0,0
99.22,142.63,1.449,0.03,18.75,2840,-1.9,3.77,15.0,330.0,1
116.75,154.66,1.314,-2.14,11.42,4124,-1.89,2.82,4.7,330.0,0
112.59,161.36,1.439,-2.34,15.9,2685,3.67,-0.3,8.3,330.0,1
103.09,149.38,1.44,2.71,14.06,2384,1.91,-0.5,-10.2,329.5,1
93.9,149.45,1.55,-1.87,13.59,3047,-3.07,-7.0,-34.4,330.0,0
91.1,125.4,1.363,2.46,14.07,3193,0.54,-0.82,-14.6,296.3,0
109.53,151.82,1.427,-2.41,14.7,3183,-7.12,-3.38,-25.8,330.0,0
102.1,159.39,1.55,2.39,11.78,1487,-1.72,0.55,8.9,330.0,0
103.84,156.46,1.477,0.03,10.06,2851,2.88,0.38,17.1,330.0,0
86.04,127.12,1.484,5.72,13.09,3414,-0.38,1.74,7.0,303.1,1
107.42,158.99,1.457,2.47,14.16,2732,0.35,3.49,8.8,330.0,1
103.64,150.6,1.47,5.21,14.16,1768,-8.0,-0.07,-11.2,330.0,1
91.12,132.66,1.497,-0.77,14.86,2773,-1.18,5.7,21.4,316.1,1
96.23,135.21,1.401,1.67,17.5,1924,1.01,0.58,-6.1,330.0,0
102.11,149.05,1.503,-1.44,9.57,3241,1.4,-3.28,-13.2,330.0,1
100.42,136.74,1.368,0.26,10.89,2154,2.89,-1.41,7.2,315.5,0
97.66,146.75,1.47,0.71,8.94,2591,-0.63,-0.93,-10.3,330.0,0
99.17,140.09,1.461,-0.68,18.85,2255,-0.5,1.48,0.1,330.0,1
97.98,135.26,1.413,-2.15,13.16,2483,-4.0,-2.37,-13.0,316.1,1
101.22,144.05,1.449,-2.74,13.48,3433,-0.61,-0.74,-1.6,330.0,1
111.77,157.74,1.413,-5.52,7.05,2978,-3.78,-0.4,-9.7,330.0,1
79.47,109.2,1.386,-1.67,12.41,2449,-5.54,-1.12,-10.1,246.2,0
98.11,143.67,1.429,3.38,15.71,1882,-3.26,2.03,6.8,330.0,0
101.41,142.72,1.384,-3.3,11.09,1955,4.53,1.6,22.8,330.0,0
102.37,151.65,1.469,-2.6,15.32,2193,-0.81,2.92,8.5,330.0,1
97.02,134.35,1.381,6.87,22.0,2238,0.66,-0.83,-2.4,330.0,1
85.95,129.28,1.493,-0.41,10.02,3066,-1.54,3.01,17.8,312.1,0
102.62,139.37,1.379,2.46,10.8,2200,-5.37,-3.41,-21.7,330.0,1
113.82,163.31,1.416,3.43,11.57,3101,2.81,-3.47,-16.7,330.0,0
87.73,121.14,1.413,3.49,19.04,2068,-6.52,-3.03,-16.9,296.6,0
106.91,165.61,1.53,-3.07,15.05,2677,-1.66,0.02,4.5,330.0,1
97.37,146.08,1.47,0.81,12.88,2066,-0.16,3.01,12.5,330.0,1
99.51,143.55,1.437,-3.35,11.94,3247,0.69,-1.51,-5.0,330.0,1
91.58,135.09,1.48,8.0,13.35,3064,-2.18,-1.19,-15.5,323.0,1
97.32,129.82,1.324,-3.28,14.52,2004,-5.51,-0.54,-8.9,316.7,0
110.4,152.64,1.447,-1.64,11.29,2543,-2.4,1.43,9.5,330.0,1
104.66,162.98,1.55,-1.62,11.65,3266,-2.25,-1.19,-14.3,330.0,0
113.86,165.72,1.458,-2.99,13.78,2128,-2.32,-1.33,-8.9,330.0,0
109.42,158.98,1.454,5.56,14.38,2522,2.91,-3.36,-10.6,330.0,1
103.51,155.26,1.483,8.0,15.1,2670,-3.64,-1.43,-13.6,330.0,1
113.95,171.17,1.504,0.07,13.06,2631,0.9,2.94,12.9,330.0,1
103.51,134.84,1.33,-2.46,14.52,2995,0.47,0.23,4.0,312.5,0
106.62,143.49,1.349,-5.21,16.12,3705,2.88,-1.85,-0.4,330.0,0
97.63,142.96,1.463,0.77,15.03,3431,-0.4,3.09,4.5,330.0,0
100.53,141.75,1.407,0.55,15.6,2539,2.37,-1.46,-12.1,330.0,1
94.42,144.75,1.529,-0.45,12.24,2388,-0.52,3.55,13.4,328.8,0
107.92,157.04,1.431,2.16,11.63,2056,1.3,3.51,10.8,330.0,0
90.57,118.1,1.334,2.69,15.9,2879,-4.51,0.14,6.1,285.3,0
106.26,146.43,1.374,2.47,14.38,1835,-7.91,-3.75,-11.3,330.0,0
98.47,129.77,1.285,0.55,8.93,2453,1.13,5.72,33.3,301.2,0
109.37,152.71,1.436,-1.8,11.38,2755,1.29,0.97,-0.7,330.0,1
